 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.1.26:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 262-631-423
192.168.1.21 - - [25/Apr/2025 01:15:49] "GET / HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:52] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
192.168.1.21 - - [25/Apr/2025 01:15:53] "POST /move HTTP/1.1" 200 -
